ID;Cash;Tips;Corporativos;MBS;Equity;Emergentes
2011-10-05;116.979;134.8635;458.97;1811.413;1953.67;266.49
2011-10-06;116.982;135.0669;458.858;1807.802;1989.61;267.71
2011-10-07;116.978;135.0427;458.833;1804.618;1973.42;268.87
2011-10-10;116.982;;458.988;1804.643;2040.76;269.09
2011-10-11;116.982;134.8972;459.054;1805.347;2041.9;270.85
2011-10-12;116.982;134.977;459.728;1804.409;2062.22;272.58
2011-10-13;116.982;134.9848;460.436;1805.733;2056.26;274.07
2011-10-14;116.978;135.2119;460.627;1804.158;2091.99;274.99
2011-10-17;116.981;135.371;461.206;1806.086;2051.54;276.11
2011-10-18;116.982;135.6984;461.468;1805.429;2093.43;276.26
2011-10-19;116.982;135.7215;462.17;1806.446;2067.28;276.74
2011-10-20;116.982;135.7099;462.198;1805.972;2076.75;276.37
2011-10-21;116.978;135.7759;462.789;1805.764;2115.86;276.51
2011-10-24;116.983;135.8497;463.039;1802.015;2143.13;277.22
2011-10-25;116.983;136.2305;464.223;1807.763;2100.17;278.57
2011-10-26;116.983;136.2805;463.738;1807.171;2122.32;278.75
2011-10-27;116.982;136.3365;464.179;1804.583;2195.22;280.38
2011-10-28;116.979;136.5512;465.304;1810.255;2196.13;281.44
2011-10-31;116.983;136.8217;465.92;1812.632;2141.81;282.25
2011-11-01;116.983;137.0969;465.872;1816.645;2081.97;281.12
2011-11-02;116.983;137.2967;466.36;1816.036;2115.7;281.32
2011-11-03;116.984;137.2257;466.356;1813.65;2155.87;281.84
2011-11-04;116.982;137.3888;466.676;1815.171;2142.34;282.47
2011-11-07;116.984;137.4921;466.661;1813.854;2156.0;282.47
2011-11-08;116.985;137.3624;466.225;1812.923;2182.61;282.64
2011-11-09;116.985;137.1814;465.801;1813.553;2102.72;282.55
2011-11-10;116.98;137.267;465.465;1811.812;2121.14;281.79
2011-11-11;116.982;;465.517;1811.82;2162.48;281.76
2011-11-14;116.985;137.1726;465.5;1810.051;2142.09;281.83
2011-11-15;116.985;136.8711;465.225;1810.902;2152.8;281.55
2011-11-16;116.985;136.4605;464.888;1813.607;2117.64;281.41
2011-11-17;116.985;136.2288;464.291;1813.26;2082.1;281.2
2011-11-18;116.982;136.1455;463.614;1812.65;2081.42;280.72
2011-11-21;116.985;136.06;463.001;1812.976;2042.71;280.14
2011-11-22;116.985;136.0893;461.98;1812.447;2034.41;279.66
2011-11-23;116.983;136.2046;461.787;1812.179;1989.54;279.11
2011-11-24;116.985;;461.839;1812.188;;279.06
2011-11-25;116.983;136.214;461.373;1811.324;1984.5;278.0
2011-11-28;116.985;136.362;461.467;1813.175;2042.8;278.68
2011-11-29;116.985;136.3946;461.119;1813.71;2048.06;277.94
2011-11-30;116.985;136.6327;461.184;1815.361;2137.08;278.08
2011-12-01;116.986;136.5966;461.24;1813.69;2133.07;278.44
2011-12-02;116.982;136.7906;462.251;1815.288;2132.64;279.16
2011-12-05;116.986;136.7455;462.584;1816.695;2154.68;279.85
2011-12-06;116.986;136.6335;462.556;1817.062;2157.1;279.52
2011-12-07;116.987;136.625;463.163;1822.13;2162.07;280.1
2011-12-08;116.987;136.4231;463.411;1824.551;2116.41;280.32
2011-12-09;116.983;136.4386;462.958;1822.461;2152.15;279.78
2011-12-12;116.986;136.4422;462.93;1823.571;2120.15;279.84
2011-12-13;116.987;136.3843;463.065;1824.834;2102.15;279.82
2011-12-14;116.987;136.0857;462.727;1826.489;2078.51;279.68
2011-12-15;116.986;136.0915;462.668;1825.365;2085.44;279.49
2011-12-16;116.985;136.0569;463.04;1824.465;2092.18;279.88
2011-12-19;116.987;136.179;463.074;1824.388;2067.67;279.96
2011-12-20;116.987;136.4166;462.748;1823.437;2129.67;279.66
2011-12-21;116.987;136.2168;462.486;1821.805;2133.86;279.79
2011-12-22;116.987;135.9673;462.617;1822.019;2152.04;279.97
2011-12-23;116.985;135.8883;462.025;1820.829;2171.5;279.71
2011-12-27;116.987;135.8043;462.186;1822.268;2171.71;279.9
2011-12-28;116.987;135.9069;462.991;1824.988;2145.09;280.49
2011-12-29;116.986;135.8633;463.388;1826.721;2168.12;280.81
2011-12-30;116.984;135.9093;463.879;1827.963;2158.94;281.05
2011-12-31;116.985;;463.883;1827.973;;281.08
2012-01-03;116.987;136.048;463.926;1827.892;2192.4;281.54
2012-01-04;116.987;136.2956;464.071;1828.164;2193.28;281.68
2012-01-05;116.988;136.5274;464.312;1827.716;2199.73;281.76
2012-01-06;116.985;136.5593;464.62;1828.953;2194.98;282.02
2012-01-09;116.988;136.6369;465.128;1830.433;2200.0;282.13
2012-01-10;116.988;136.5513;465.371;1831.322;2219.58;282.25
2012-01-11;116.988;136.5693;465.758;1833.107;2220.48;282.42
2012-01-12;116.987;136.5222;465.898;1833.947;2225.74;282.57
2012-01-13;116.982;136.626;466.349;1835.947;2214.73;282.92
2012-01-16;116.988;;466.501;1835.98;;283.07
2012-01-17;116.987;136.768;466.756;1835.289;2222.59;283.23
2012-01-18;116.988;136.8098;466.912;1832.964;2247.64;283.26
2012-01-19;116.987;136.841;467.271;1831.834;2258.8;283.71
2012-01-20;116.983;136.5912;467.439;1830.457;2260.37;283.82
2012-01-23;116.987;136.6454;467.889;1830.432;2261.47;284.27
2012-01-24;116.988;136.792;468.278;1830.187;2259.22;284.55
2012-01-25;116.988;137.2045;469.31;1831.662;2278.83;285.34
2012-01-26;116.987;137.5177;470.29;1834.704;2265.84;286.62
2012-01-27;116.983;137.6698;470.653;1834.981;2262.35;287.14
2012-01-30;116.987;137.6195;470.845;1835.745;2256.72;287.43
2012-01-31;116.987;137.6917;471.194;1835.56;2255.69;288.02
2012-02-01;116.987;137.9;471.432;1835.608;2276.24;288.47
2012-02-02;116.985;137.8571;471.958;1836.325;2278.92;288.88
2012-02-03;116.983;137.5513;472.042;1834.827;2312.49;288.74
2012-02-06;116.987;137.7033;472.707;1836.215;2311.55;289.47
2012-02-07;116.987;137.7132;472.596;1835.656;2316.27;289.26
2012-02-08;116.987;137.6812;472.802;1836.632;2322.11;289.47
2012-02-09;116.985;137.5661;472.578;1835.143;2325.56;289.68
2012-02-10;116.983;137.643;472.711;1837.072;2309.6;290.26
2012-02-13;116.986;137.7213;472.714;1837.729;2325.81;290.33
2012-02-14;116.984;137.7117;472.928;1839.791;2324.0;290.9
2012-02-15;116.985;137.8041;472.931;1840.524;2312.28;291.01
2012-02-16;116.987;137.722;472.098;1837.673;2338.12;290.45
2012-02-17;116.984;137.6575;472.426;1837.063;2343.67;290.78
2012-02-20;116.989;;472.578;1837.093;;290.97
2012-02-21;116.99;137.8412;472.447;1836.183;2345.41;291.25
2012-02-22;116.99;138.093;472.854;1837.898;2337.67;292.33
2012-02-23;116.989;138.3934;472.905;1838.117;2348.11;292.72
2012-02-24;116.985;138.3237;472.935;1836.973;2352.34;293.18
2012-02-27;116.988;138.3802;473.405;1838.046;2355.74;293.79
2012-02-28;116.989;138.3434;473.727;1838.013;2364.03;294.51
2012-02-29;116.99;138.0963;473.734;1837.44;2353.23;294.96
2012-03-01;116.991;138.0881;473.875;1836.994;2367.87;295.03
2012-03-02;116.99;138.1885;474.461;1837.956;2360.28;295.91
2012-03-05;116.994;138.1112;474.292;1837.427;2351.28;296.01
2012-03-06;116.994;138.2141;474.368;1838.501;2315.21;295.75
2012-03-07;116.994;138.3272;474.233;1836.905;2331.89;295.61
2012-03-08;116.995;138.3375;474.153;1837.383;2355.01;295.98
2012-03-09;116.992;138.4179;474.038;1838.807;2363.56;296.34
2012-03-12;116.995;138.5077;474.136;1839.743;2364.1;296.68
2012-03-13;116.995;138.509;473.741;1837.895;2407.79;296.79
2012-03-14;116.995;138.1799;472.892;1833.168;2404.98;296.25
2012-03-15;116.994;138.2014;473.382;1834.546;2419.37;296.21
2012-03-16;116.991;138.0387;473.487;1835.484;2422.09;296.31
2012-03-19;116.995;137.8597;473.158;1832.098;2431.73;296.17
2012-03-20;116.995;137.7773;473.04;1832.426;2424.46;296.12
2012-03-21;116.996;137.8277;473.621;1836.053;2420.02;296.46
2012-03-22;116.997;137.7977;473.748;1836.284;2402.71;296.17
2012-03-23;116.995;137.8013;473.885;1836.446;2410.16;296.28
2012-03-26;116.999;137.8059;474.156;1837.051;2443.64;296.46
2012-03-27;116.999;138.0631;474.693;1839.265;2437.01;296.72
2012-03-28;117.0;137.9915;474.56;1839.377;2425.55;296.75
2012-03-29;117.001;137.9919;474.76;1840.772;2421.7;296.69
2012-03-30;116.999;137.9208;474.632;1838.899;2430.67;296.32
2012-03-31;117.0;;474.635;1838.908;;296.35
2012-04-02;117.002;138.1999;474.841;1840.399;2449.08;296.36
2012-04-03;117.001;137.8847;474.061;1836.239;2439.89;296.05
2012-04-04;117.0;137.7777;474.329;1838.014;2415.05;296.01
2012-04-05;116.996;137.7826;474.456;1840.878;2414.4;296.02
2012-04-09;117.001;137.8678;475.071;1848.309;2387.03;296.52
2012-04-10;116.999;137.964;475.205;1848.602;2346.27;296.25
2012-04-11;117.001;138.1149;475.05;1847.997;2364.09;295.97
2012-04-12;117.001;138.0982;475.166;1847.801;2396.69;296.15
2012-04-13;116.999;138.1723;475.497;1849.328;2366.84;296.56
2012-04-16;117.004;138.1951;475.56;1850.114;2365.65;296.76
2012-04-17;117.004;138.1944;475.542;1848.788;2402.29;296.88
2012-04-18;117.006;138.1169;475.61;1849.541;2392.57;296.99
2012-04-19;117.007;137.9612;475.786;1850.638;2378.48;297.14
2012-04-20;117.004;138.0131;475.729;1849.742;2381.32;297.36
2012-04-23;117.006;138.1067;476.002;1850.586;2361.35;297.53
2012-04-24;117.006;138.1609;475.821;1849.787;2370.04;297.59
2012-04-25;117.005;138.1405;475.896;1849.432;2402.71;298.0
2012-04-26;117.005;138.315;476.123;1850.615;2418.89;298.26
2012-04-27;117.003;138.3508;476.323;1850.934;2424.78;298.77
2012-04-30;117.006;138.4634;476.461;1851.459;2415.42;299.09
2012-05-01;117.008;138.4508;476.402;1851.474;2429.1;299.29
2012-05-02;117.009;138.4726;476.596;1852.934;2423.29;299.87
2012-05-03;117.009;138.373;476.847;1854.239;2405.17;300.44
2012-05-04;117.007;138.167;477.138;1855.113;2366.39;300.35
2012-05-07;117.01;138.1868;477.133;1856.54;2367.26;300.32
2012-05-08;117.01;138.2517;477.263;1856.787;2357.45;300.3
2012-05-09;117.01;138.189;477.069;1855.679;2342.31;299.76
2012-05-10;117.009;138.2541;477.024;1854.27;2348.93;299.82
2012-05-11;117.007;138.1624;477.125;1854.639;2341.23;299.83
2012-05-14;117.01;138.2389;476.892;1854.756;2315.45;298.87
